low,high,volume,close,time,percentChange,percentVol,open
36.6300,37.6850,5461609,37.3600,2019-12-06,0.029201101928374662,0.13930633764181333,36.6400
36.09,36.67,4793802,36.3,2019-12-05,-0.0019246631839427986,0.5934177230336815,36.36
36.35,37.57,3008503,36.37,2019-12-04,-0.014363143631436315,-0.40306141784528104,37.08
34.72,36.97,5039887,36.9,2019-12-03,0.017369727047146233,0.8335249361344208,35.06
36.26,37.7,2748742,36.27,2019-12-02,-0.028395392445753953,1.1049898071865845,37.35
36.71,37.93,1305822,37.33,2019-11-29,0.010557661072008617,-0.4984486661755454,36.79
36.68,37.675,2603566,36.94,2019-11-27,0.009289617486338608,-0.7048582601713627,36.78
36.04,36.7,8821409,36.6,2019-11-26,-0.009740259740259716,1.373034421795718,36.69
35.5100,36.9800,3717354,36.9600,2019-11-25,0.03125,0.8873304509056497,35.8700
35.36,35.982,1969636,35.84,2019-11-22,0.006458859870822842,-0.36916093788834203,35.77
35.3,36.015,3122248,35.61,2019-11-21,-0.007801616049038729,-0.3789289025558765,35.98
35.3000,36.5050,5027199,35.8900,2019-11-20,-0.02947539210383987,0.6150486246286611,36.4500
36.6000,37.3590,3112723,36.9800,2019-11-19,-0.0018893387314440346,-0.3457173251519351,37.3500
36.46,37.28,4757459,37.05,2019-11-18,-0.00483481063658342,-0.2841706690259521,37.1
36.11,37.5,6646080,37.23,2019-11-15,0.03907340217694655,0.018043633505027135,36.24
34.44,35.89,6528286,35.83,2019-11-14,0.03554913294797668,-0.35503755546231497,34.7
34.0,35.75,10121963,34.6,2019-11-13,-0.018439716312056653,-0.4481891192876435,34.9
30.87,35.321,18343174,35.25,2019-11-12,0.19897959183673475,1.9042689641359511,31.47
29.165,30.17,6315935,29.4,2019-11-11,-0.022606382978723416,0.08043452526764816,29.78
29.02,30.13,5845736,30.08,2019-11-08,0.018280297901150933,0.8371788759515122,29.42
29.4,30.2,3181909,29.54,2019-11-07,0.01651754989676535,-0.16896353050685797,29.52
28.85,29.89,3828844,29.06,2019-11-06,-0.019568151147098534,-0.4787586517473119,29.48
29.47,30.3735,7345626,29.64,2019-11-05,0.0027063599458727605,0.9258597988677066,29.79
28.48,29.78,3814206,29.56,2019-11-04,0.04194571730701435,0.3920231237078222,28.97
27.68,28.54,2740045,28.37,2019-11-01,0.025298156848572395,0.4274026595096274,27.75
26.975,27.74,1919602,27.67,2019-10-31,-0.0007222824124232252,-0.15132343624343847,27.74
27.045,27.99,2261877,27.69,2019-10-30,-0.00610193826274219,0.19942888808168435,27.96
27.56,28.095,1885795,27.86,2019-10-29,-0.008187967248130978,-0.05009648663719257,27.92
28.0,28.78,1985249,28.09,2019-10-28,-0.0077711056163899395,-0.150406298786667,28.4
27.34,28.34,2336704,28.31,2019-10-25,0.03283473184968977,-0.23396473955599728,27.36
27.18,28.36,3050387,27.41,2019-10-24,-0.02037169406719086,0.2559979676001871,28.09
27.0839,28.1,2428656,27.98,2019-10-23,0.009015506671474993,0.15598211472355783,27.59
27.0503,27.87,2100946,27.73,2019-10-22,0.007997091966557512,-0.5198058329205903,27.5
26.83,27.88,4375201,27.51,2019-10-21,0.040468986384266215,-0.26023262628347965,26.92
26.44,27.99,5914293,26.44,2019-10-18,-0.05232974910394261,0.010041680514060847,27.88
27.32,28.35,5855494,27.9,2019-10-17,0.0010764262648008671,0.2610521736508633,27.98
27.85,29.08,4643340,27.87,2019-10-16,-0.03896551724137931,0.3758325725770393,29.03
28.07,29.15,3374931,29.0,2019-10-15,0.03202846975088969,-0.39097245731667263,28.19
27.2499,28.2,5541508,28.1,2019-10-14,0.0024973242953978403,0.21730091507770477,27.86
27.02,28.63,4552291,28.03,2019-10-11,0.05415569763068828,0.5796325784638916,27.14
26.4,27.06,2881867,26.59,2019-10-10,0.007578628268283483,-0.057595600252976276,26.56
26.3,26.82,3057994,26.39,2019-10-09,0.0022787694644892387,-0.3496055620105948,26.73
26.02,26.72,4701753,26.33,2019-10-08,-0.023005565862708743,-0.3867122973905076,26.44
26.95,27.92,7666472,26.95,2019-10-07,-0.011734506784011778,0.11442180317929362,27.19
26.82,27.54,6879327,27.27,2019-10-04,0.0011013215859030367,0.448548645990402,27.29
26.53,27.36,4749117,27.24,2019-10-03,0.0055370985603542255,-0.09825322909101264,27.1
27.08,28.12,5266575,27.09,2019-10-02,-0.03525641025641024,-0.20682916911399263,27.75
28.05,29.74,6639900,28.08,2019-10-01,-0.048135593220339,0.4195913396782611,29.68
29.24,30.01,4677332,29.5,2019-09-30,-0.009402283411685697,0.8830134611614273,29.83
29.57,30.495,2483961,29.78,2019-09-27,0.005741303613644,-0.5227364691551112,29.9
29.17,30.14,5204590,29.61,2019-09-26,-0.042986425339366585,0.8894540554218171,30.13
30.21,31.22,2754547,30.94,2019-09-25,0.0016186468112657781,-0.4125413927852485,30.9
30.66,32.38,4688921,30.89,2019-09-24,-0.03589263420724087,-0.38310749082473694,32.38
31.47,32.13,7600872,32.04,2019-09-23,0.00691389063482073,-0.361666437256868,31.55
31.6,32.7502,11907367,31.82,2019-09-20,-0.012414649286157653,1.763692645629023,32.42
32.0,32.93,4308499,32.22,2019-09-19,0.005931938807367976,-0.26319725437665376,32.25
31.35,32.3908,5847561,32.03,2019-09-18,-0.009585652442795412,0.5464436002894246,32.04
31.88,32.975,3781296,32.34,2019-09-17,-0.027368421052631486,-0.36634122627254306,32.95
32.34,33.885,5967401,33.25,2019-09-16,0.01681957186544336,-0.10138326778756057,32.34
32.52,34.1,6640652,32.7,2019-09-13,0.0067733990147784695,-0.7350713499697776,33.12
30.1,33.92,25065813,32.48,2019-09-12,-0.10989312140312424,7.5714515803069204,33.8
34.83,36.52,2924337,36.49,2019-09-11,0.012767138495697994,-0.4809966201226581,36.17
34.79,36.08,5634524,36.03,2019-09-10,0.030606407322654405,0.03349048851637293,34.82
34.27,35.52,5451936,34.96,2019-09-09,0.024318781130969747,0.5348460884894763,34.41
33.83,34.5,3552106,34.13,2019-09-06,0.002643948296122245,-0.44442934257713596,34.31
32.8,34.25,6393617,34.04,2019-09-05,0.051266213712167996,1.3534107912225846,32.8
31.86,32.44,2716745,32.38,2019-09-04,0.02663284717818648,-0.23912337216773005,32.13
31.33,32.71,3570546,31.54,2019-09-03,-0.05057194461167969,0.4612000224261952,32.65
32.81,33.52,2443571,33.22,2019-08-30,0.007888349514562965,0.005219916063387675,33.2
32.15,33.05,2430882,32.96,2019-08-29,0.035826524198617316,-0.3197626245285189,32.25
31.1,32.02,3573579,31.82,2019-08-28,0.0018891687657429657,-0.3099924059329108,31.57
31.505,33.68,5179043,31.76,2019-08-27,-0.04595974767197353,0.9702584368702711,33.5
33.01,34.125,2628611,33.29,2019-08-26,-0.008931229532599061,-0.2169262502882221,33.95
33.45,34.73,3356786,33.59,2019-08-23,-0.026376811594202798,0.09098100623007088,34.08
34.405,35.14,3076851,34.5,2019-08-22,0.0,-0.2164294958675287,34.56
34.02,34.68,3926706,34.5,2019-08-21,0.02556480380499404,0.11556746492389869,34.31
33.16,34.15,3519918,33.64,2019-08-20,0.0014885382554330473,-0.5275813048830441,33.37
32.64,33.82,7450844,33.59,2019-08-19,0.056621579112928755,0.41538468552480023,32.64
30.14,31.81,5264183,31.79,2019-08-16,0.03854949362953275,-0.19935418235443436,31.0
30.11,31.92,6574921,30.61,2019-08-15,-0.03590551181102364,0.09210700285695306,31.92
31.5,33.28,6020400,31.75,2019-08-14,-0.06864183044881211,-0.38958424120730184,33.1
33.54,35.25,9862786,34.09,2019-08-13,0.005011792452830344,-0.22795567181134002,34.05
33.66,35.58,12774896,33.92,2019-08-12,-0.05541631857421314,-0.3864901190968043,35.57
34.61,39.875,20822641,35.91,2019-08-09,-0.3047434656340755,4.197315959227461,38.8
49.89,52.03,4006422,51.65,2019-08-08,0.03527761074363589,0.06045716082576713,50.13
48.56,50.02,3778014,49.89,2019-08-07,0.004833836858006091,-0.0659949502603363,48.87
49.23,51.09,4044961,49.65,2019-08-06,-0.02379079826976016,0.3760799950739604,51.04
50.41,52.07,2939481,50.86,2019-08-05,-0.04559954963407764,0.28927432619136395,52.0
52.57,54.89,2279950,53.29,2019-08-02,-0.03337565753673144,0.35675856130451633,54.85
54.72,56.66,1680439,55.13,2019-08-01,-0.01147570378339613,-0.03156057245175348,55.55
55.0,56.92,1735203,55.77,2019-07-31,-0.0165755598659848,0.2221004568782825,56.8
55.29,56.71,1419853,56.71,2019-07-30,0.004783841247342435,0.3768912395437558,55.8
56.03,56.82,1031202,56.44,2019-07-29,-0.0035310734463277482,-0.29632831761243406,56.64
56.31,56.97,1465459,56.64,2019-07-26,0.0026553372278279586,-0.21461978870510734,56.67
56.25,57.06,1865923,56.49,2019-07-25,-0.0001769911504424515,-0.05441302267880743,56.66
56.4196,57.085,1973296,56.5,2019-07-24,-0.003878702397743239,0.2659509631460162,56.7
56.26,56.86,1558746,56.72,2019-07-23,0.00763901225794994,0.2007866858125389,56.62
56.185,57.01,1298104,56.29,2019-07-22,0.006436617200071604,-0.44565269379249084,56.37
55.91,57.09,2341680,55.93,2019-07-19,-0.012360939431396822,0.7176531685569301,56.81
55.58,56.775,1363302,56.63,2019-07-18,0.010888968225633677,-0.10396442416012808,55.68
55.99,57.07,1521482,56.02,2019-07-17,-0.015119549929676457,-0.1747437688756205,56.93
56.5,57.23,1843648,56.88,2019-07-16,-0.0015797788309636074,-0.618191393459513,57.07
56.1,57.06,4828723,56.97,2019-07-15,0.0028164055624009254,1.5603148058206098,56.83
55.56,57.0,1885988,56.81,2019-07-12,0.023972602739726234,-0.1309972400001843,55.71
55.09,56.19,2170290,55.48,2019-07-11,0.004162895927601662,-0.19778084822785003,55.76
55.09,56.23,2705358,55.25,2019-07-10,-0.005400540054005365,0.1959053728609168,55.78
54.3802,55.55,2262184,55.55,2019-07-09,0.010367406329574447,-0.3440893543226997,54.61
54.84,56.61,3448921,54.98,2019-07-08,-0.026213248317392912,0.6855660630941036,55.87
55.04,56.48,2046150,56.46,2019-07-05,0.013644524236983813,0.25431330155073506,55.45
55.43,56.19,1631291,55.7,2019-07-03,-0.004824012864034222,-0.16625046254367337,56.05
55.17,55.97,1956572,55.97,2019-07-02,0.0005362888809439248,-0.34573706452905173,55.95
54.98,56.49,2990498,55.94,2019-07-01,0.014324569356300998,0.0407089562627021,56.01
54.06,55.15,2873520,55.15,2019-06-28,0.025092936802973975,0.2931225350515445,54.06
53.68,54.285,2222156,53.8,2019-06-27,0.0033569563595672314,-0.24012618080786496,53.74
53.23,54.65,2924375,53.62,2019-06-26,-0.007220885021292367,0.19808224902494187,54.22
53.74,54.35,2440880,54.01,2019-06-25,0.0012977382276604388,-0.14844745372922297,54.05
53.77,54.65,2866388,53.94,2019-06-24,-0.009184423218221882,-0.39584029326233905,54.38
53.75,54.65,4744421,54.44,2019-06-21,0.0005513692335967768,0.21896551281161925,54.15
53.61,54.86,3892170,54.41,2019-06-20,0.024477499529278912,-0.15733029997038228,54.06
52.61,53.85,4618856,53.11,2019-06-19,-0.003377744417339068,0.12445327567175934,53.47
52.19,54.34,4107646,53.29,2019-06-18,0.02678227360308294,0.13102550836516103,52.41
51.74,52.47,3631789,51.9,2019-06-17,0.0034802784222738303,0.012029133196288955,51.74
50.91,52.17,3588621,51.72,2019-06-14,0.005443234836703059,0.182686137843461,51.05
50.63,51.78,3034297,51.44,2019-06-13,0.025109605420486236,0.7205726666662886,50.63
49.9,50.81,1763539,50.18,2019-06-12,-0.010841711019120792,-0.3490737008706385,50.4
50.2,51.04,2709276,50.73,2019-06-11,0.009150586831111918,-0.04458434307671044,50.72
49.55,50.63,2835704,50.27,2019-06-10,0.022163481089874093,-0.3894740014941793,49.55
48.42,49.72,4644690,49.18,2019-06-07,0.01716649431230599,1.3407491401141476,48.54
47.69,48.48,1984275,48.35,2019-06-06,0.01066053511705678,-0.11136613000738937,48.08
47.62,49.1,2232950,47.84,2019-06-05,-0.010957204879057159,-0.4396359183099864,48.75
46.7,48.4,3984820,48.37,2019-06-04,0.037092624356775294,0.20046285431446553,47.24
46.46,47.86,3319403,46.64,2019-06-03,-0.018931426167437926,-0.17638749700084133,47.47
47.3444,48.56,4030297,47.54,2019-05-31,-0.03726204941271771,0.11469104313564094,48.55
49.23,50.305,3615618,49.38,2019-05-30,-0.006438631790744442,-0.371497348485046,49.87
49.37,51.13,5752749,49.7,2019-05-29,-0.03326201128185169,0.1854440570867837,51.13
50.955,53.09,4852822,51.41,2019-05-28,-0.031461944235116834,-0.3963641203484872,53.0
52.26300000000001,54.59,8039320,53.08,2019-05-24,0.021161985378991943,1.2453510459221508,53.11
51.76,53.7,3580429,51.98,2019-05-23,-0.042725598526703545,0.13033934530255054,53.68
54.3,55.405,3167570,54.3,2019-05-22,-0.01701665459811741,-0.2687503953393131,54.89
54.79,55.45,4331722,55.24,2019-05-21,0.010611050128064514,0.18910248843625177,55.17
54.43,55.75,3642850,54.66,2019-05-20,-0.02964672465826379,0.8000511921444764,55.45
56.26,58.21,2023748,56.33,2019-05-17,-0.02306625043357613,0.01102675957547583,56.9
57.19,57.98,2001676,57.66,2019-05-16,0.00470465237846307,0.14655479551705852,57.5
