low,high,volume,close,time,percentChange,percentVol,open
133.0300,134.5200,1825255,134.4500,2019-11-29,0.0050833520221273965,-0.4436383831616372,133.6000
133.6200,135.7100,3280699,133.7700,2019-11-27,-0.009771263602043057,-0.13821368219836883,135.3500
134.77,136.15,3806859,135.09,2019-11-26,-0.0064720158858571075,0.46974687913345425,136.15
134.35,136.0,2590146,135.97,2019-11-25,0.012133392883727723,-0.2144876701228272,134.47
133.5900,134.6500,3297397,134.3400,2019-11-22,0.003735803945009053,-0.007453287892990046,134.1900
132.9800,134.1700,3322158,133.8400,2019-11-21,0.00480480480480483,-0.19719054218476062,133.4000
132.7500,134.4614,4138165,133.2000,2019-11-20,-0.009812667261373975,0.38168930659191114,134.0600
134.4600,135.3800,2995004,134.5200,2019-11-19,0.0015635470180925815,-0.06708825707088528,134.8800
133.23,134.48,3210383,134.31,2019-11-18,-0.0006696428571428825,-0.01597576585346716,134.3
134.03,135.12,3262504,134.4,2019-11-15,0.0029850746268658135,-0.2289468478558604,134.39
133.33,134.33,4231231,134.0,2019-11-14,-0.0035693039857227493,0.3823400749905501,134.13
133.845,135.58,3060919,134.48,2019-11-13,-0.008186444428055273,0.004734291461403473,135.39
135.02,136.66,3046496,135.59,2019-11-12,0.0008858049752713537,0.18632005489049552,135.87
135.0,137.2,2568022,135.47,2019-11-11,-0.015551195407310647,0.12709364189451944,137.2
136.16,137.61,2278446,137.61,2019-11-08,-0.0005810153242790106,-0.4406933063504723,137.58
137.58,139.135,4073697,137.69,2019-11-07,-0.007854157659605177,-0.08995362752163472,137.87
137.55,138.78,4476362,138.78,2019-11-06,0.006454420190006527,0.48571919788272266,138.0
137.63,138.76,3012926,137.89,2019-11-05,0.0015980242609137107,-0.09617010298454187,137.8
136.23,137.74,3333510,137.67,2019-11-04,0.015789862023168233,0.07923577321580222,136.24
134.09,135.56,3088769,135.53,2019-11-01,0.013459956629028769,-0.09442863379256383,134.5
133.23,135.25,3410851,133.73,2019-10-31,-0.0112384473197783,0.5141302803771508,135.11
133.2,135.28,2252680,135.25,2019-10-30,0.010685996114183194,-0.45829284380866775,133.83
133.44,135.57,4158483,133.82,2019-10-29,-0.015812311539310175,0.28917546994567367,135.42
135.445,136.63,3225692,135.97,2019-10-28,0.003913171884229127,0.25124059588944125,136.0
134.1,135.93,2577995,135.44,2019-10-25,0.010218542552397958,-0.015728144960846624,134.12
133.3,135.07,2619190,134.07,2019-10-24,-0.0023068909063849175,-0.2778082920012661,134.83
132.7,134.565,3626724,134.38,2019-10-23,0.00313526425798738,-0.13518738913305417,133.52
131.61,134.05,4193653,133.96,2019-10-22,0.010408809775229955,-0.34172176448861724,132.55
130.9,133.1,6370639,132.58,2019-10-21,-0.011261093295547697,-0.1124113684658713,132.61
132.25,134.49,7177468,134.09,2019-10-18,-0.0012661999106210464,-0.546436456522731,134.22
132.91,136.0,15824614,134.26,2019-10-17,-0.05523889944409277,1.711578818223145,135.0
141.3905,142.95,5835941,142.11,2019-10-16,-0.006223776223776123,0.9166073604903622,142.49
141.81,143.72,3044933,143.0,2019-10-15,0.00675865953252619,0.3096176219487281,142.54
141.32,142.43,2325055,142.04,2019-10-14,-0.005043429532081811,-0.22895460656391164,142.31
142.61,144.5,3015458,142.76,2019-10-11,0.011549635088216492,0.15125146652505062,142.77
139.56,141.78,2619287,141.13,2019-10-10,0.010453211140545537,-0.00477722979185824,139.77
138.79,140.33,2631860,139.67,2019-10-09,0.009322156380979774,-0.21255220260745256,139.77
138.25,140.4749,3342266,138.38,2019-10-08,-0.020526613816534534,0.34349651912561496,140.24
141.22,142.7,2487737,141.28,2019-10-07,-0.011958878243233828,0.016273533937851248,142.26
141.03,143.06,2447901,142.99,2019-10-04,0.006830023940290086,-0.22010148648678785,142.06
139.18,142.07,3138743,142.02,2019-10-03,0.0023290281600678586,-0.06225813226798249,141.62
140.57,142.2659,3347129,141.69,2019-10-02,-0.01371293331477097,0.125604480452834,142.19
143.54,147.35,2973628,143.66,2019-10-01,-0.012102874432677657,-0.2573391884504045,145.59
143.73,146.57,4004019,145.42,2019-09-30,0.015219212510471758,0.6990069088659394,143.73
142.38,145.09,2356682,143.24,2019-09-27,-0.0021595262974573037,0.01849265220675811,144.41
141.41,143.88,2313892,143.55,2019-09-26,0.002724224643755324,-0.0906757294189956,143.17
140.8588,143.63,2544628,143.16,2019-09-25,0.010446075663467003,-0.23155592961654015,141.74
141.07,142.89,3311403,141.68,2019-09-24,-0.0027451256422889037,0.7903753221039838,142.5
140.558,142.22,1849558,142.07,2019-09-23,0.001339159853397165,-0.6455241229608454,141.19
141.82,143.83,5217726,141.88,2019-09-20,-0.007623977058124121,0.6398712674312259,143.25
142.45,145.03,3181790,142.97,2019-09-19,0.005273519898748358,0.595110878050688,142.46
140.51,142.3,1994714,142.22,2019-09-18,0.00014064697609006416,-0.3216398333069206,142.05
140.66,142.48,2940494,142.2,2019-09-17,-0.001965188096574977,0.5249397257332873,142.48
142.27,143.64,1928269,142.48,2019-09-16,-0.008282870467042458,-0.12613766396795079,142.56
143.26,144.65,2206605,143.67,2019-09-13,0.0003481409274472824,-0.11882498017300802,144.32
141.88,144.04,2504162,143.62,2019-09-12,0.0001392757660167998,-0.3525889466884766,144.03
142.7051,145.12,3867963,143.6,2019-09-11,-0.009996552912788781,-0.22319780870601147,144.85
142.96,145.46,4979341,145.05,2019-09-10,0.01718092566619922,0.18032404894299603,143.0
140.46,143.02,4218622,142.6,2019-09-09,0.014441203670769065,0.6373835069384473,140.59
140.46,141.525,2576441,140.57,2019-09-06,-0.0028374831524438093,-0.4859073738114641,141.52
138.05,141.695,5011628,140.97,2019-09-05,0.03411091549295775,1.229447258893094,138.3
135.15,136.43,2247924,136.32,2019-09-04,0.01655480984340052,-0.2050960441229045,135.71
133.3301,134.9013,2827919,134.1,2019-09-03,-0.01055116948277135,-0.04481364212722172,134.85
134.3627,136.07,2960594,135.53,2019-08-30,0.0048190984578886376,-0.004119963321293274,135.58
134.04,135.69,2972842,134.88,2019-08-29,0.015968665260620796,0.09567526189062492,134.18
130.04,132.89,2713251,132.76,2019-08-28,0.012121674163299456,-0.42617892086781295,130.44
130.31,131.6961,4728392,131.17,2019-08-27,0.009077621355488619,0.6667831109083815,131.2
129.16,131.3,2836837,129.99,2019-08-26,0.0032414910858995505,-0.41129303208564694,131.05
128.83,134.26,4818759,129.57,2019-08-23,-0.03536331149493743,0.7880307635336283,133.63
133.81,135.68,2695009,134.32,2019-08-22,0.0005214152700185881,-0.03981973610985423,134.69
133.8,135.94,2806774,134.25,2019-08-21,0.009398496240601517,-0.07027646182394187,134.96
132.81,135.28,3018934,133.0,2019-08-20,-0.015106635071090002,-0.04628177603338057,135.24
134.88,136.33,3165436,135.04,2019-08-19,0.009569377990430672,0.05094400949803002,134.88
