,open,high,low,close,volume,time
1182,317.7300,317.9800,317.6400,317.7700,112637,2020-02-04 15:45:00
1183,317.6600,317.8332,317.6600,317.7368,57257,2020-02-04 15:44:00
1184,317.4700,317.7800,317.4645,317.6300,112306,2020-02-04 15:43:00
1185,317.7100,317.7500,317.4300,317.4850,128028,2020-02-04 15:42:00
1186,317.9700,317.9900,317.6900,317.6900,54586,2020-02-04 15:41:00
1187,317.7100,317.9600,317.6801,317.9600,74477,2020-02-04 15:40:00
1188,318.0700,318.1300,317.6000,317.7084,84005,2020-02-04 15:39:00
1189,318.0900,318.2190,318.0200,318.0550,63471,2020-02-04 15:38:00
1190,318.0200,318.0915,317.9400,318.0915,58379,2020-02-04 15:37:00
1191,318.1100,318.2156,317.9800,318.0202,57696,2020-02-04 15:36:00
1192,318.2000,318.2200,317.9250,318.0950,117277,2020-02-04 15:35:00
1193,318.2400,318.3100,318.2000,318.2100,60255,2020-02-04 15:34:00
1194,318.3879,318.4100,318.2100,318.2200,74276,2020-02-04 15:33:00
1195,318.2900,318.4500,318.2600,318.3700,61736,2020-02-04 15:32:00
1196,318.5697,318.5697,318.2700,318.2900,82323,2020-02-04 15:31:00
1197,318.6900,318.7240,318.5100,318.5700,36249,2020-02-04 15:30:00
1198,318.7800,318.8400,318.6800,318.6900,52085,2020-02-04 15:29:00
1199,318.6100,318.8000,318.3300,318.7801,87268,2020-02-04 15:28:00
1200,318.7400,318.7500,318.5800,318.6100,50074,2020-02-04 15:27:00
1201,318.6100,318.7900,318.5900,318.7100,60047,2020-02-04 15:26:00
1202,318.6300,318.7100,318.5600,318.5800,43043,2020-02-04 15:25:00
1203,318.7050,318.7050,318.5100,318.6200,44399,2020-02-04 15:24:00
1204,318.6700,318.7696,318.5000,318.7100,69837,2020-02-04 15:23:00
1205,318.9670,319.0200,318.6600,318.6700,51735,2020-02-04 15:22:00
1206,318.9551,319.1300,318.8500,318.9800,130004,2020-02-04 15:21:00
1207,318.8700,319.0000,318.8400,318.9700,63324,2020-02-04 15:20:00
1208,318.8000,318.8877,318.6760,318.8836,29954,2020-02-04 15:19:00
1209,318.6400,318.9300,318.6400,318.8264,71995,2020-02-04 15:18:00
1210,318.6300,318.6900,318.4900,318.6318,42441,2020-02-04 15:17:00
1211,318.7700,318.8500,318.5800,318.6300,75045,2020-02-04 15:16:00
1212,318.7415,318.7840,318.6635,318.7550,38336,2020-02-04 15:15:00
1213,318.7200,318.7967,318.6500,318.7400,34722,2020-02-04 15:14:00
1214,318.7200,318.7431,318.6300,318.7000,37748,2020-02-04 15:13:00
1215,318.6100,318.8100,318.5600,318.7100,53953,2020-02-04 15:12:00
1216,318.6100,318.7300,318.5100,318.6500,68161,2020-02-04 15:11:00
1217,318.8700,318.8700,318.6200,318.6352,34944,2020-02-04 15:10:00
1218,318.8300,318.8900,318.7416,318.8400,39445,2020-02-04 15:09:00
1219,318.8550,318.9100,318.6500,318.8267,63111,2020-02-04 15:08:00
1220,318.8700,318.8900,318.6800,318.8550,49116,2020-02-04 15:07:00
1221,318.9721,318.9800,318.7800,318.8600,43261,2020-02-04 15:06:00
1222,318.9069,319.0550,318.9000,318.9768,44713,2020-02-04 15:05:00
1223,319.0000,319.0500,318.9000,318.9172,22801,2020-02-04 15:04:00
1224,318.9500,319.0400,318.8300,319.0000,66778,2020-02-04 15:03:00
1225,318.7500,318.9699,318.7429,318.9699,17803,2020-02-04 15:02:00
1226,318.8700,318.8838,318.6500,318.6902,31878,2020-02-04 15:01:00
1227,318.9100,318.9800,318.8600,318.8700,24949,2020-02-04 15:00:00
1228,319.0200,319.0750,318.9050,318.9274,43859,2020-02-04 14:59:00
1229,318.8500,319.0500,318.8200,319.0400,53639,2020-02-04 14:58:00
1230,318.7950,318.8800,318.7700,318.8369,45952,2020-02-04 14:57:00
1231,318.7254,318.8171,318.6200,318.7850,48024,2020-02-04 14:56:00
1232,318.7700,318.8000,318.6900,318.7600,27292,2020-02-04 14:55:00
1233,318.8818,318.9250,318.7700,318.7700,27736,2020-02-04 14:54:00
1234,318.9601,318.9900,318.8600,318.8850,31562,2020-02-04 14:53:00
1235,318.8200,319.0000,318.6600,318.9700,75133,2020-02-04 14:52:00
1236,318.8900,318.9200,318.7900,318.8300,772302,2020-02-04 14:51:00
1237,318.9046,318.9200,318.8200,318.8750,28376,2020-02-04 14:50:00
1238,318.9353,318.9800,318.8843,318.8843,45582,2020-02-04 14:49:00
1239,319.0295,319.0899,318.9000,318.9500,454060,2020-02-04 14:48:00
1240,319.1900,319.2000,318.9500,319.0150,60974,2020-02-04 14:47:00
1241,319.2200,319.3300,319.1999,319.2000,28797,2020-02-04 14:46:00
1242,319.2100,319.3300,319.1400,319.2200,37238,2020-02-04 14:45:00
1243,319.2400,319.2800,319.1600,319.2100,17702,2020-02-04 14:44:00
1244,319.2800,319.2824,319.1632,319.2100,39509,2020-02-04 14:43:00
1245,319.2000,319.3500,319.1700,319.2900,41837,2020-02-04 14:42:00
1246,319.1600,319.2700,319.1200,319.1630,31488,2020-02-04 14:41:00
1247,319.1950,319.2200,319.0800,319.1700,25981,2020-02-04 14:40:00
1248,319.2400,319.2641,319.1000,319.1666,27861,2020-02-04 14:39:00
1249,319.2841,319.3600,319.1810,319.2392,30159,2020-02-04 14:38:00
1250,319.1900,319.2800,319.1600,319.2500,65280,2020-02-04 14:37:00
1251,319.0424,319.2500,318.9950,319.2088,34443,2020-02-04 14:36:00
1252,319.1087,319.1087,318.9600,319.0300,27097,2020-02-04 14:35:00
1253,319.2400,319.2650,319.0700,319.1121,36503,2020-02-04 14:34:00
1254,319.0360,319.2500,319.0360,319.2480,48796,2020-02-04 14:33:00
1255,318.8200,319.0600,318.7500,319.0300,45791,2020-02-04 14:32:00
1256,318.8900,319.0200,318.8000,318.8000,54576,2020-02-04 14:31:00
1257,318.9800,319.0800,318.8901,318.8901,29643,2020-02-04 14:30:00
1258,319.1000,319.1050,318.9600,318.9933,36615,2020-02-04 14:29:00
1259,319.1800,319.1900,319.0800,319.1100,20638,2020-02-04 14:28:00
1260,319.1437,319.2600,319.1200,319.1500,20566,2020-02-04 14:27:00
1261,319.0571,319.2100,319.0500,319.1600,29387,2020-02-04 14:26:00
1262,319.1200,319.1200,318.9500,319.0300,36738,2020-02-04 14:25:00
1263,319.2500,319.2500,319.0900,319.1250,22677,2020-02-04 14:24:00
