volume,time,open,close,high,low
634941,2020-02-14 09:31:00,324.74,325.05,325.17,324.56
202165,2020-02-13 16:00:00,324.84,324.91,325.08,324.79
100591,2020-02-13 15:59:00,324.9,324.82,324.918,324.78
90771,2020-02-13 15:58:00,324.89,324.91,324.93,324.75
45787,2020-02-13 15:57:00,324.84,324.91,324.935,324.82
70387,2020-02-13 15:56:00,324.96,325.05,325.13,324.83
78335,2020-02-13 15:55:00,325.15,324.97,325.29,324.93
82390,2020-02-13 15:54:00,324.8,325.15,325.16,324.76
89893,2020-02-13 15:53:00,324.62,324.78,324.8099,324.62
60660,2020-02-13 15:52:00,324.91,324.6127,324.93,324.6
85244,2020-02-13 15:51:00,324.76,324.92,325.03,324.64
29465,2020-02-13 15:50:00,324.87,324.755,324.875,324.73
30235,2020-02-13 15:49:00,324.8282,324.8734,324.8743,324.7642
44810,2020-02-13 15:48:00,324.667,324.84,324.84,324.65
28876,2020-02-13 15:47:00,324.49,324.65,324.68,324.49
74236,2020-02-13 15:46:00,324.77,324.49,324.84,324.4276
41946,2020-02-13 15:45:00,324.56,324.79,324.79,324.56
44492,2020-02-13 15:44:00,324.58,324.56,324.64,324.52
79005,2020-02-13 15:43:00,324.56,324.57,324.674,324.52
57185,2020-02-13 15:42:00,324.87,324.5654,324.88,324.56
43875,2020-02-13 15:41:00,324.96,324.85,325.1498,324.8
15443,2020-02-13 15:40:00,324.94,324.965,324.98,324.91
25233,2020-02-13 15:39:00,324.9,324.95,324.99,324.88
60297,2020-02-13 15:38:00,324.7179,324.886,324.94,324.71
24517,2020-02-13 15:37:00,324.9,324.723,324.94,324.6993
45774,2020-02-13 15:36:00,324.9,324.9,324.98,324.74
53606,2020-02-13 15:35:00,324.77,324.91,324.9399,324.74
54594,2020-02-13 15:34:00,324.67,324.77,324.89,324.67
46872,2020-02-13 15:33:00,324.93,324.69,325.0033,324.69
39516,2020-02-13 15:32:00,325.06,324.93,325.09,324.93
47018,2020-02-13 15:31:00,325.22,325.06,325.3,325.05
25835,2020-02-13 15:30:00,325.1303,325.215,325.24,325.125
24710,2020-02-13 15:29:00,324.91,325.125,325.14,324.91
49140,2020-02-13 15:28:00,325.04,324.9001,325.04,324.86
23862,2020-02-13 15:27:00,325.1,325.06,325.15,325.04
