volume,high,time,close,open,low
168664,152.0539,2020-03-09 14:38:00,151.9400,151.8600,151.4700
84800,152.2235,2020-03-09 14:37:00,151.8540,152.0850,151.7800
69785,152.2100,2020-03-09 14:36:00,152.1000,152.1100,151.9500
58982,152.4116,2020-03-09 14:35:00,152.1350,152.2400,151.9300
117096,152.6000,2020-03-09 14:34:00,152.2150,151.7800,151.7700
82408,152.3000,2020-03-09 14:33:00,151.7800,152.1700,151.7500
75995,152.3500,2020-03-09 14:32:00,152.2000,151.8500,151.7600
100609,152.1000,2020-03-09 14:31:00,151.8401,152.0600,151.7500
85248,152.4200,2020-03-09 14:30:00,152.0800,152.3100,152.0100
49587,152.6200,2020-03-09 14:29:00,152.3100,152.5910,152.2829
68398,152.8100,2020-03-09 14:28:00,152.5900,152.3500,152.1800
55001,152.6900,2020-03-09 14:27:00,152.3500,152.3932,152.2800
84693,152.8800,2020-03-09 14:26:00,152.4000,152.8500,152.2500
59565,153.2300,2020-03-09 14:25:00,152.8100,153.0603,152.7500
76793,153.3400,2020-03-09 14:24:00,153.0835,153.0300,152.8200
58676,153.1700,2020-03-09 14:23:00,153.0600,153.1100,152.9000
114318,153.5800,2020-03-09 14:22:00,153.1200,153.5650,152.9300
85416,153.8562,2020-03-09 14:21:00,153.5600,153.3900,153.3900
53381,153.6600,2020-03-09 14:20:00,153.3600,153.3976,153.3300
81303,153.8000,2020-03-09 14:19:00,153.4000,153.7900,153.3119
92707,153.8250,2020-03-09 14:18:00,153.7500,153.7800,153.2300
105462,153.8900,2020-03-09 14:17:00,153.7400,153.6900,153.3200
141482,153.7300,2020-03-09 14:16:00,153.6714,152.9100,152.9100
132741,152.9600,2020-03-09 14:15:00,152.8690,152.2700,152.2100
53819,152.3900,2020-03-09 14:14:00,152.2550,152.3500,152.1700
85911,152.5600,2020-03-09 14:13:00,152.3750,152.3199,152.0700
100703,152.5800,2020-03-09 14:12:00,152.2900,152.0714,152.0500
75091,152.1400,2020-03-09 14:11:00,152.0300,151.8000,151.6700
103966,152.3300,2020-03-09 14:10:00,151.8100,152.2800,151.7700
91507,152.5600,2020-03-09 14:09:00,152.3300,152.3200,152.2300
131650,152.5800,2020-03-09 14:08:00,152.4000,151.5800,151.5701
98313,151.9300,2020-03-09 14:07:00,151.6000,151.7500,151.6000
108902,152.0000,2020-03-09 14:06:00,151.7500,151.6800,151.5700
94124,152.1300,2020-03-09 14:05:00,151.6800,152.0332,151.6800
82523,152.2400,2020-03-09 14:04:00,152.0200,152.0200,151.9700
248335,152.6000,2020-03-09 14:03:00,152.0550,152.6000,151.9750
76732,152.8040,2020-03-09 14:02:00,152.6400,152.4800,152.2900
75174,152.7000,2020-03-09 14:01:00,152.4900,152.5400,152.3220
76845,152.7900,2020-03-09 14:00:00,152.5100,152.5600,152.5000
111696,152.9900,2020-03-09 13:59:00,152.5501,152.7700,152.5000
71480,152.9300,2020-03-09 13:58:00,152.7900,152.6350,152.4500
92653,152.7500,2020-03-09 13:57:00,152.6400,152.1650,152.1500
106844,152.2200,2020-03-09 13:56:00,152.1600,152.2100,152.0500
90465,152.5400,2020-03-09 13:55:00,152.2100,152.4700,152.1300
93264,152.5500,2020-03-09 13:54:00,152.4800,152.4100,152.3100
92603,152.6800,2020-03-09 13:53:00,152.4350,152.6375,152.3950
50620,152.9400,2020-03-09 13:52:00,152.6750,152.9200,152.6000
73253,153.1600,2020-03-09 13:51:00,152.8900,153.1100,152.7600
83456,153.5600,2020-03-09 13:50:00,153.1000,153.5400,153.1000
74454,153.5800,2020-03-09 13:49:00,153.5098,153.4303,153.2600
291070,153.5600,2020-03-09 13:48:00,153.4200,153.0100,152.9650
42163,152.6200,2020-03-09 13:46:00,152.5900,152.6200,152.4200
131179,152.9899,2020-03-09 13:45:00,152.6600,152.7868,152.3900
79072,153.1066,2020-03-09 13:44:00,152.8100,152.7200,152.6416
78570,152.9799,2020-03-09 13:43:00,152.7600,152.9401,152.5600
122518,153.3950,2020-03-09 13:42:00,152.9400,153.3750,152.8600
61239,153.6100,2020-03-09 13:41:00,153.4100,153.1400,153.0900
81361,153.4780,2020-03-09 13:40:00,153.1548,153.3700,153.1000
79937,153.5520,2020-03-09 13:39:00,153.3800,153.5520,153.2000
67758,153.6389,2020-03-09 13:38:00,153.5400,153.6200,153.4100
52931,153.6900,2020-03-09 13:37:00,153.6500,153.6800,153.5000
65840,153.8199,2020-03-09 13:36:00,153.6800,153.5600,153.5200
67834,153.8599,2020-03-09 13:35:00,153.5301,153.6450,153.5000
