open,close,time,high,low,volume
144.4700,144.6100,2020-03-18 10:59:00,144.9050,144.4500,57287
144.7700,144.4550,2020-03-18 10:58:00,144.8400,144.4100,101553
144.5000,144.7800,2020-03-18 10:57:00,144.7800,144.4700,101936
144.5450,144.5000,2020-03-18 10:56:00,144.7500,144.4450,42900
144.5400,144.5200,2020-03-18 10:55:00,144.7250,144.3400,62580
144.1000,144.5706,2020-03-18 10:54:00,144.6500,144.0600,65902
144.1100,144.1600,2020-03-18 10:53:00,144.3200,144.0000,92223
144.5200,144.1850,2020-03-18 10:52:00,144.5400,144.0000,80410
144.4400,144.5100,2020-03-18 10:51:00,144.6800,144.3000,76614
144.1200,144.4900,2020-03-18 10:50:00,144.5500,144.0200,56483
143.8000,144.0300,2020-03-18 10:49:00,144.3900,143.6300,55856
144.3300,143.7800,2020-03-18 10:48:00,144.3900,143.6700,67473
144.5319,144.3500,2020-03-18 10:47:00,144.6650,144.2800,54885
145.0400,144.5400,2020-03-18 10:46:00,145.1300,144.5000,42721
145.4800,145.0300,2020-03-18 10:45:00,145.5900,144.8300,37198
144.9100,145.4300,2020-03-18 10:44:00,145.4300,144.7000,46277
144.9900,144.8400,2020-03-18 10:43:00,145.1000,144.8000,23449
144.8250,145.0900,2020-03-18 10:42:00,145.1600,144.8100,28626
144.6800,144.8700,2020-03-18 10:41:00,145.0000,144.6500,35745
144.6078,144.7500,2020-03-18 10:40:00,144.8100,144.5900,30598
144.1406,144.5800,2020-03-18 10:39:00,144.6450,144.1406,42957
144.2501,144.2100,2020-03-18 10:38:00,144.5000,144.1600,34708
144.5150,144.3000,2020-03-18 10:37:00,144.7616,144.2300,30908
145.1000,144.4800,2020-03-18 10:36:00,145.1200,144.4800,34460
144.9800,145.0900,2020-03-18 10:35:00,145.5700,144.9800,32740
145.3450,144.9600,2020-03-18 10:34:00,145.3800,144.9100,40105
145.5900,145.2900,2020-03-18 10:33:00,145.6400,145.1099,44063
145.6200,145.6303,2020-03-18 10:32:00,145.8100,145.4900,29112
145.4500,145.5801,2020-03-18 10:31:00,145.6300,145.0800,29330
144.9550,145.4400,2020-03-18 10:30:00,145.4400,144.8200,33558
144.7900,144.9550,2020-03-18 10:29:00,145.0250,144.7750,42035
145.0250,144.7600,2020-03-18 10:28:00,145.0400,144.5700,41389
144.5900,144.9650,2020-03-18 10:27:00,145.1000,144.5500,55055
144.4100,144.5400,2020-03-18 10:26:00,144.7900,144.3200,39720
144.5600,144.4000,2020-03-18 10:25:00,144.7900,144.3300,36617
144.7650,144.5900,2020-03-18 10:24:00,144.9600,144.4800,84467
144.8300,144.7500,2020-03-18 10:23:00,145.1100,144.4800,71050
145.0000,144.7800,2020-03-18 10:22:00,145.0600,144.6100,44958
145.0100,144.9900,2020-03-18 10:21:00,145.3800,144.7400,61248
145.3150,145.0200,2020-03-18 10:20:00,145.3900,145.0000,55366
145.2450,145.3950,2020-03-18 10:19:00,145.6498,145.1000,79074
145.5900,145.2900,2020-03-18 10:18:00,145.6400,145.0500,70422
145.4100,145.6000,2020-03-18 10:17:00,145.9700,145.4100,69642
145.2350,145.3900,2020-03-18 10:16:00,145.4100,145.0500,66830
144.9700,145.2300,2020-03-18 10:15:00,145.3200,144.7600,65866
145.3200,144.9600,2020-03-18 10:14:00,145.4699,144.9300,47032
144.4900,145.3700,2020-03-18 10:13:00,145.4800,144.3000,78759
145.1500,144.4650,2020-03-18 10:12:00,145.3200,144.4400,60000
145.1300,145.1800,2020-03-18 10:11:00,145.3500,144.9100,59834
145.6000,145.1100,2020-03-18 10:10:00,145.6300,145.0500,77054
146.3600,145.5200,2020-03-18 10:09:00,146.4500,145.4400,67960
145.8400,146.3800,2020-03-18 10:08:00,146.7000,145.8100,58960
145.5200,145.9300,2020-03-18 10:07:00,146.0000,145.4500,44339
146.1400,145.4500,2020-03-18 10:06:00,146.3100,145.3900,66566
145.6700,146.1400,2020-03-18 10:05:00,146.6400,145.6700,70920
144.5000,145.6000,2020-03-18 10:04:00,145.6900,144.4900,70548
144.6700,144.5100,2020-03-18 10:03:00,144.8881,144.3800,60353
144.1500,144.7789,2020-03-18 10:02:00,145.1200,144.1400,150818
144.0100,144.1200,2020-03-18 10:01:00,144.1200,143.1600,82989
144.1800,144.0200,2020-03-18 10:00:00,144.4600,144.0100,50671
144.6500,144.0600,2020-03-18 09:59:00,144.6500,144.0600,102165
143.5300,143.3137,2020-03-18 09:58:00,143.5300,143.3137,77259
143.7500,143.5100,2020-03-18 09:57:00,143.7500,143.5100,119878
143.8100,143.4567,2020-03-18 09:56:00,143.8100,143.4567,101384
143.3300,143.7900,2020-03-18 09:55:00,143.7900,143.3300,93340
142.7400,143.0400,2020-03-18 09:54:00,143.2000,142.7400,94486
142.0450,142.8100,2020-03-18 09:53:00,142.8100,142.0450,82059
141.7200,141.8900,2020-03-18 09:52:00,141.8900,141.6650,53363
140.7900,141.6300,2020-03-18 09:51:00,141.6300,140.7900,89805
141.2200,141.0500,2020-03-18 09:50:00,141.2850,141.0500,71810
141.1350,141.3600,2020-03-18 09:49:00,141.5600,141.1350,98071
140.9500,140.9350,2020-03-18 09:48:00,140.9500,140.8700,97793
141.3700,140.8153,2020-03-18 09:47:00,141.3700,140.8153,131946
142.6500,141.2100,2020-03-18 09:46:00,142.6500,141.2100,160208
142.2271,142.6300,2020-03-18 09:45:00,142.6300,142.2271,67682
142.7601,142.1100,2020-03-18 09:44:00,142.7601,142.0400,72013
142.1100,142.2800,2020-03-18 09:43:00,142.2800,142.1100,74462
141.5200,142.2400,2020-03-18 09:42:00,142.2400,141.5200,203045
140.2500,141.7750,2020-03-18 09:41:00,141.7750,140.2500,288043
140.5000,140.4200,2020-03-18 09:40:00,140.5000,140.4200,101019
139.5100,140.4800,2020-03-18 09:39:00,140.4800,139.5100,140928
139.9000,139.7200,2020-03-18 09:38:00,139.9600,139.7200,150132
139.5100,139.8983,2020-03-18 09:37:00,139.8983,139.5100,126388
139.6350,139.4700,2020-03-18 09:36:00,139.8350,139.4700,155223
139.9300,139.9300,2020-03-18 09:35:00,139.9300,139.9300,167421
140.0900,140.0000,2020-03-18 09:34:00,141.0300,139.6900,218939
139.1600,140.0100,2020-03-18 09:33:00,140.2100,138.9840,179186
139.2300,140.3800,2020-03-18 09:32:00,141.2500,139.0500,137874
139.3400,139.3400,2020-03-18 09:31:00,139.3400,139.3400,938305
148.9200,149.4300,2020-03-17 16:00:00,149.6700,148.9100,464709
149.2300,148.9700,2020-03-17 15:59:00,149.2800,148.5300,215178
149.1500,149.2430,2020-03-17 15:58:00,149.6900,149.1400,207498
148.9600,149.1600,2020-03-17 15:57:00,149.2000,148.8400,180789
149.0700,148.9550,2020-03-17 15:56:00,149.0800,148.7800,169807
147.8300,149.0599,2020-03-17 15:55:00,149.0600,147.7800,190342
147.5350,147.8300,2020-03-17 15:54:00,147.9700,147.5000,83750
148.3000,147.5900,2020-03-17 15:53:00,148.3000,147.2600,112088
149.0100,148.2200,2020-03-17 15:52:00,149.0500,148.0400,101609
148.9700,149.0000,2020-03-17 15:51:00,149.1700,148.4100,126028
148.8600,148.9500,2020-03-17 15:50:00,149.0200,148.7900,102613
148.9000,148.8700,2020-03-17 15:49:00,149.0100,148.6700,81267
148.7867,148.9200,2020-03-17 15:48:00,149.0000,148.6100,88377
148.3753,148.8000,2020-03-17 15:47:00,148.8000,148.0000,95220
148.3250,148.3900,2020-03-17 15:46:00,148.5861,148.3200,118229
148.8850,148.3300,2020-03-17 15:45:00,148.9600,148.2800,92536
149.0550,148.9000,2020-03-17 15:44:00,149.1500,148.8300,96213
149.0100,149.0600,2020-03-17 15:43:00,149.2200,148.9900,129565
148.8800,149.0000,2020-03-17 15:42:00,149.0100,148.8300,78460
148.8050,148.8601,2020-03-17 15:41:00,148.9400,148.7950,42840
148.7600,148.8050,2020-03-17 15:40:00,148.9400,148.7300,62004
148.9350,148.8000,2020-03-17 15:39:00,149.0000,148.7200,57522
148.6000,148.9100,2020-03-17 15:38:00,148.9499,148.5600,64951
149.0100,148.5800,2020-03-17 15:37:00,149.0800,148.5500,114408
148.6000,149.0001,2020-03-17 15:36:00,149.0600,148.5600,86019
148.7300,148.5745,2020-03-17 15:35:00,148.7500,148.5124,61895
147.8600,148.7200,2020-03-17 15:34:00,148.7200,147.7150,90787
148.0000,147.8400,2020-03-17 15:33:00,148.0100,147.7600,44735
147.8800,147.9850,2020-03-17 15:32:00,148.0800,147.8800,59985
147.6100,147.9000,2020-03-17 15:31:00,147.9500,147.3101,56384
147.6800,147.6100,2020-03-17 15:30:00,147.8600,147.5300,55879
147.6200,147.6700,2020-03-17 15:29:00,147.7950,147.6000,38425
147.7400,147.6300,2020-03-17 15:28:00,147.8350,147.5101,52566
147.6000,147.7400,2020-03-17 15:27:00,147.8700,147.3900,50039
147.7075,147.6100,2020-03-17 15:26:00,147.8500,147.4400,53551
148.0800,147.7100,2020-03-17 15:25:00,148.0800,147.5000,44421
147.7200,148.0799,2020-03-17 15:24:00,148.0900,147.5500,33389
147.4900,147.6900,2020-03-17 15:23:00,147.7000,147.4100,51215
147.5200,147.5000,2020-03-17 15:22:00,147.8800,147.2701,43568
148.4800,147.5400,2020-03-17 15:21:00,148.5550,147.2900,56744
148.3200,148.5400,2020-03-17 15:20:00,148.7400,148.2400,60027
148.2350,148.3400,2020-03-17 15:19:00,148.3900,148.1700,30316
148.4450,148.2300,2020-03-17 15:18:00,148.4600,148.1900,31009
148.4400,148.4400,2020-03-17 15:17:00,148.5100,148.2600,27755
148.0800,148.4750,2020-03-17 15:16:00,148.5371,148.0200,42702
147.9900,148.0800,2020-03-17 15:15:00,148.1400,147.7600,38919
148.0400,148.0000,2020-03-17 15:14:00,148.4400,147.8000,42868
148.3700,148.0400,2020-03-17 15:13:00,148.4300,147.9600,32079
148.1699,148.3900,2020-03-17 15:12:00,148.4300,147.9700,24829
148.2700,148.1100,2020-03-17 15:11:00,148.5300,148.0700,52513
147.6500,148.2000,2020-03-17 15:10:00,148.6700,147.5950,79231
147.3100,147.6800,2020-03-17 15:09:00,147.7600,147.2700,50202
147.2100,147.3600,2020-03-17 15:08:00,147.5900,147.0320,98673
147.2300,147.2000,2020-03-17 15:07:00,147.2965,147.1000,85679
147.4200,147.2300,2020-03-17 15:06:00,147.4400,147.0001,59134
147.3200,147.4400,2020-03-17 15:05:00,147.5500,147.0100,67142
147.0700,147.3200,2020-03-17 15:04:00,147.4600,146.8550,61765
146.4500,147.0900,2020-03-17 15:03:00,147.4500,146.3150,64010
147.4900,146.4500,2020-03-17 15:02:00,147.5900,146.3300,102306
148.0400,147.4616,2020-03-17 15:01:00,148.0900,147.4000,46425
147.8200,148.0520,2020-03-17 15:00:00,148.1900,147.7700,55476
147.6700,147.8350,2020-03-17 14:59:00,147.9900,147.6401,26265
147.8800,147.6950,2020-03-17 14:58:00,148.0900,147.5850,51249
147.5153,147.8600,2020-03-17 14:57:00,147.9100,147.4750,30626
146.9950,147.5100,2020-03-17 14:56:00,147.7000,146.9950,34398
146.5800,146.9750,2020-03-17 14:55:00,147.2100,146.5701,44368
146.5100,146.6000,2020-03-17 14:54:00,146.7599,146.4900,37759
146.9600,146.5150,2020-03-17 14:53:00,147.1120,146.4200,67539
147.3000,146.9800,2020-03-17 14:52:00,147.3800,146.8800,47478
147.0500,147.2947,2020-03-17 14:51:00,147.5899,147.0500,27364
147.0000,147.0900,2020-03-17 14:50:00,147.3500,146.8400,49385
147.3900,147.0200,2020-03-17 14:49:00,147.5400,147.0200,41096
147.8600,147.3800,2020-03-17 14:48:00,147.8900,147.0000,66997
147.9800,147.8700,2020-03-17 14:47:00,147.9800,147.7200,44221
148.1300,147.9800,2020-03-17 14:46:00,148.1900,147.9300,49231
148.8300,148.2550,2020-03-17 14:45:00,148.8400,148.2500,34019
148.8600,148.8200,2020-03-17 14:44:00,149.0500,148.7200,44102
149.1500,148.8600,2020-03-17 14:43:00,149.1800,148.8490,78286
148.7500,149.1297,2020-03-17 14:42:00,149.1500,148.7500,52717
148.9800,148.7600,2020-03-17 14:41:00,149.0050,148.7100,37904
148.4000,148.9900,2020-03-17 14:40:00,148.9900,148.3600,38322
148.9500,148.4300,2020-03-17 14:39:00,149.0500,148.4000,77740
149.0000,148.9400,2020-03-17 14:38:00,149.1200,148.6900,50620
149.0700,148.9711,2020-03-17 14:37:00,149.0800,148.8000,56771
148.9550,149.0900,2020-03-17 14:36:00,149.1200,148.7000,63054
148.9600,148.9550,2020-03-17 14:35:00,149.0000,148.7700,29840
148.6670,148.9700,2020-03-17 14:34:00,148.9700,148.6670,31008
148.5900,148.6700,2020-03-17 14:33:00,148.7300,148.3400,36090
149.0100,148.6200,2020-03-17 14:32:00,149.0200,148.6200,51337
148.4500,149.0172,2020-03-17 14:31:00,149.0200,148.4500,63338
148.2300,148.4500,2020-03-17 14:30:00,148.6000,148.2300,122157
148.0550,148.2400,2020-03-17 14:29:00,148.3800,147.7500,49670
148.1400,148.0600,2020-03-17 14:28:00,148.4700,148.0600,32351
148.1800,148.1550,2020-03-17 14:27:00,148.5693,147.5600,57266
147.7400,148.0600,2020-03-17 14:26:00,148.0600,147.6100,35414
147.6200,147.7799,2020-03-17 14:25:00,147.8041,147.5800,23335
147.9000,147.6500,2020-03-17 14:24:00,148.0600,147.5400,57386
148.1800,147.8300,2020-03-17 14:23:00,148.2800,147.8300,90287
148.9700,148.1900,2020-03-17 14:22:00,149.0000,148.1900,55519
148.9600,148.9800,2020-03-17 14:21:00,149.0650,148.9300,34702
149.0000,148.9400,2020-03-17 14:20:00,149.1000,148.8600,59503
149.1200,148.9900,2020-03-17 14:19:00,149.1600,148.8800,50214
149.0450,149.0877,2020-03-17 14:18:00,149.1600,148.9550,59392
149.0100,149.0400,2020-03-17 14:17:00,149.1200,148.9300,31846
148.9260,149.0200,2020-03-17 14:16:00,149.0200,148.6250,26873
148.6900,148.9137,2020-03-17 14:15:00,149.0150,148.6350,41980
148.6400,148.6900,2020-03-17 14:14:00,148.8190,148.6001,22339
148.6900,148.6604,2020-03-17 14:13:00,148.8600,148.5200,25533
149.0150,148.6500,2020-03-17 14:12:00,149.0600,148.5801,36667
149.0050,149.0100,2020-03-17 14:11:00,149.0300,148.9100,41479
149.0500,149.0050,2020-03-17 14:10:00,149.1800,148.9000,43990
148.9517,149.0300,2020-03-17 14:09:00,149.1700,148.9100,33994
149.1201,148.9900,2020-03-17 14:08:00,149.1517,148.8700,38464
149.1600,149.1350,2020-03-17 14:07:00,149.3600,149.0808,50926
148.5600,149.1800,2020-03-17 14:06:00,149.3899,148.3201,49995
148.4500,148.5400,2020-03-17 14:05:00,148.6000,148.3287,19297
148.5300,148.4700,2020-03-17 14:04:00,148.5500,148.2000,27142
148.1500,148.4700,2020-03-17 14:03:00,148.6650,148.0000,32508
148.8900,148.0400,2020-03-17 14:02:00,148.9800,148.0050,55029
148.8200,148.8600,2020-03-17 14:01:00,149.1300,148.8200,40131
148.8300,148.8050,2020-03-17 14:00:00,149.0050,148.7800,27870
148.9600,148.8100,2020-03-17 13:59:00,149.0100,148.6800,28581
148.9798,149.0000,2020-03-17 13:58:00,149.0000,148.8600,25282
148.9400,148.9450,2020-03-17 13:57:00,149.0000,148.8400,75370
148.4300,148.8850,2020-03-17 13:56:00,148.9900,148.2800,27531
